candidate_id,product_name,category,brand,price,unit,specs,product_url,supplier_name,supplier_site
P-001,"Доставка бетона","Доставка строительных материалов","РДР","700","м3","Транспорт: автобетоносмесители; Расстояние по минимальному тарифу: до 10 км; Минимальный оплачиваемый объем доставки: 6 м3; Регион доставки: Тула и Тульская область","https://rdr71.ru/dostavka-betona/","ООО РД",https://rdr71.ru
P-002,"Щебень известняковый и отсев","Нерудные материалы","РДР","500","тонна","Материал: известняк; Основной компонент: карбонат кальция CaCO3; Фракции щебня: 5-20, 20-40, 40-70, 70-120, 120-250 мм; Фракция отсева: 0-5 мм; Способ производства: дробление, сортировка и очистка","https://rdr71.ru/nerudniye-materialy/sheben-izvestniakoviy/","ООО РД",https://rdr71.ru
P-003,"Щебень гранитный","Нерудные материалы","РДР","3715","тонна","Материал: гранит; Фракции: 5-10, 5-20, 20-40, 40-70 мм; Прочность: М800-М1600; Морозостойкость: F150-F400; Абсолютная плотность: 2600 кг/м3; ГОСТ 8267-93","https://rdr71.ru/nerudniye-materialy/granitnyj-shheben/","ООО РД",https://rdr71.ru
P-004,"Щебень гравийный","Нерудные материалы","РДР","2570","тонна","Фракции: 5-20, 20-40 мм; Форма зерен: остроугольная; Лещадность: малая; Морозостойкость: F100-F200; Прочность: М600-М1200; Класс радиоактивности: первый","https://rdr71.ru/nerudniye-materialy/gravijnyj_scheben/","ООО РД",https://rdr71.ru
P-005,"Щебень шлаковый","Нерудные материалы","РДР","550","тонна","Сырье: отходы металлургического производства; Фракции: 0-70, 5-20, 20-40, 40-70 мм; Прочность: М300-М1200; Максимальное водопоглощение: 4% от массы; Морозостойкость: 75-300 циклов; Минимальный объем доставки: 10 м3","https://rdr71.ru/nerudniye-materialy/shlakovyj-shheben/","ООО РД",https://rdr71.ru
P-006,"Песок гидронамывной","Нерудные материалы","РДР","1200","м3","Места добычи: Мартемьяново, Серпухов; Модуль крупности: 1-3 мм3; Насыпная плотность: 1,5 кг/м3; Удельный вес: 2,6 г/м3; Минимальный объем отгрузки: 10 м3","https://rdr71.ru/nerudniye-materialy/pesok-gidronamyvnoj/","ООО РД",https://rdr71.ru
